year,Team_A,Team_B,poss_A,rtg_A,poss_B,rtg_B,winner,formatting_a,formatting_b,,
2011,Ohio State,UTSA,64.1,39.51,68.8,-7.06,1,1,1,,
2011,George Mason,Villanova,64.3,18.97,65.7,23.05,1,1,1,,
2011,West Virginia,Clemson,64,24.58,65.1,21.68,1,1,1,,"top teams are a, and team on left of bracket in championship game is a
bottom team is b, and team on right of bracket in championship game is b"
2011,Kentucky,Princeton,66.2,30.83,63.4,7.12,1,1,1,,
2011,Xavier,Marquette,65.3,18.65,68,22.37,0,1,1,,
2011,Syracuse,Indiana State,66,28.63,64.8,7.09,1,1,1,,
2011,Washington,Georgia,72,28.49,64.6,16.63,1,1,1,,
2011,North Carolina,Long Island University,72.6,27.1,75.4,3.19,1,1,1,,
2011,Duke,Hampton,70.2,35.51,67.3,-6.55,1,1,1,,
2011,Michigan,Tennessee,62.1,22.46,67.1,17.02,1,1,1,,
2011,Arizona,Memphis,66.9,25.29,69.1,10.99,1,1,1,,
2011,Texas,Oakland,67.8,30.86,72.4,12.59,1,1,1,,
2011,Cincinnati,Missouri,63.6,23.79,72.5,21.07,1,1,1,,
2011,Connecticut,Bucknell,65.1,27.45,66.1,4.7,1,1,1,,
2011,Temple,Penn State,65.5,19.67,59.8,19.4,1,1,1,,
2011,San Diego State,Northern Colorado,63.7,28.08,66.8,3.55,1,1,1,,
2011,Ohio State,George Mason,64.1,39.51,64.3,18.97,1,1,1,,
2011,West Virginia,Kentucky,64,24.58,66.2,30.83,0,1,1,,
2011,Marquette,Syracuse,68,22.37,66,28.63,1,1,1,,
2011,Washington,North Carolina,72,28.49,72.6,27.1,0,1,1,,
2011,Duke,Michigan,70.2,35.51,62.1,22.46,1,1,1,,
2011,Arizona,Texas,66.9,25.29,67.8,30.86,1,1,1,,
2011,Cincinnati,Connecticut,63.6,23.79,65.1,27.45,0,1,1,,
2011,Temple,San Diego State,65.5,19.67,63.7,28.08,0,1,1,,
2011,Ohio State,Kentucky,64.1,39.51,66.2,30.83,0,1,1,,
2011,Marquette,North Carolina,68,22.37,72.6,27.1,0,1,1,,
2011,Duke,Arizona,70.2,35.51,66.9,25.29,0,1,1,,
2011,Connecticut,San Diego State,65.1,27.45,63.7,28.08,1,1,1,,
2011,Kentucky,North Carolina,66.2,30.83,72.6,27.1,1,1,1,,
2011,Arizona,Connecticut,66.9,25.29,65.1,27.45,0,1,1,,
2011,Kentucky,Connecticut,66.2,30.83,65.1,27.45,0,1,1,,
2011,Connecticut,Butler,65.1,27.45,64.5,18.45,1,1,1,,
2011,Kansas,Boston University,69.7,35.33,62.7,-1.93,1,1,1,,
2011,Nevada-Las Vegas,Illinois,67.3,22.61,66.2,25.47,0,1,1,,
2011,Vanderbilt,Richmond,67.6,22.73,63.2,18.51,0,1,1,,
2011,Louisville,Morehead State,67.8,27.59,64.2,5.12,0,1,1,,
2011,Georgetown,Virginia Commonwealth,64.8,22.11,65.3,13.99,0,1,1,,
